alpha0 , eps , xs , vd , alphad , vu , alphau
  7.90   , 1     , 1.34 , 0.586 , 2     , 0     , 1.12  
  4      , 0.916 , 1.53 , 0.801 , 1.56  , 0.168 , 0.835 
  1.67   , 0.755 , 1.80 , 1.09  , 1.07  , 0.389 , 0.539 
  1      , 0.640 , 1.95 , 1.25  , 0.833 , 0.513 , 0.404 
  .667    , 0.545 , 2.06 , 1.37  , .667   , 0.605 , 0.315 
  0.1    , 0.168 , 2.42 , 1.77  , 0.173 , 0.905 , 7.49e-2 
  0.01   , 2.09e-2 , 2.55 , 1.90 , 2.05e-2 , 1.00 , 8.64e-3 
  1e-3 , 2.15e-3 , 2.56 , 1.91 , 2.10e-3 , 1.02 , 8.78e-4 
  1e-4 , 2.15e-4 , 2.56 , 1.91 , 2.10e-4 , 1.02 , 8.80e-5 
  1e-5 , 2.15e-5 , 2.56 , 1.91 , 2.10e-5 , 1.02 , 8.80e-6 
